BIN,Address,Borough,Management Company,Owner Name,Loss of Service % (30d),Recent Complaints (30d),AI Headline
2010379,1279 REV JAMES POLITE AVENUE,Bronx,STEBBINS-PROSPECT LP,STEBBINS-PROSPECT LP,0.00%,0,Executive Summary: Escalating Elevator Dysfunction at 1279 REV JAMES POLITE AVENUE Demands Urgent Intervention
2116646,514 EAST 163 STREET,Bronx,BORICUA VILLAGE HOUSING DEVELOPMENT,BORICUA VILLAGE HOUSING DEVELOPMENT,0.00%,0,Chronic Elevator Malfunctions at 514 East 163 Street Demand Immediate and Sustained Intervention
2128697,1417 LONGFELLOW AVENUE,Bronx,CULLEN PROPERTY 2017 LLC,CULLEN PROPERTY 2017 LLC,0.28%,1,Elevator Safety Concerns Persist at 1417 Longfellow Avenue Amidst Recurring Outages
2090413,372 EAST 152 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 372 EAST 152 STREET Require Urgent Proactive Strategy
2004415,611 EAST 149 STREET,Bronx,LRF HOUSING ASSOCIATES,LRF HOUSING ASSOCIATES,0.00%,0,Elevator Reliability Crisis at 611 EAST 149 STREET: Chronic Failures Fuel Deep Tenant Dissatisfaction
2103646,1177 REV JAMES A POLITE AVENUE,Bronx,163RD ST IMPRVMNT CO,163RD ST IMPRVMNT CO,0.00%,0,Elevator System at 1177 REV JAMES A POLITE AVENUE Requires Urgent Intervention
2117976,1330 INTERVALE AVENUE,Bronx,URBAN HORIZONS II HOUSING DEVELOPMENT FU ND,URBAN HORIZONS II HOUSING DEVELOPMENT FU ND,0.00%,0,Persistent Elevator Failures at 1330 INTERVALE AVENUE Warrant Immediate Intervention
2113354,941 HOE AVENUE,Bronx,962 ALDUS STREET CONDO,962 ALDUS STREET CONDO,0.00%,0,Elevator Crisis at 941 HOE AVENUE Demands Immediate and Comprehensive Intervention
2025372,1255 MORRISON AVENUE,Bronx,"ENCALADA, JOSE","ENCALADA, JOSE",0.00%,0,Executive Summary: Urgent Elevator Concerns Emerge at 1255 Morrison Avenue Despite Clean Historical Record
2129027,1010 EAST 173 STREET,Bronx,SAMARITAN-COMPASS III & IV HOUSING DEV F UND CORP,SAMARITAN-COMPASS III & IV HOUSING DEV F UND CORP,0.00%,0,Elevator Reliability Concerns and High Tenant Frustration at 1010 EAST 173 STREET
2005015,950 UNION AVENUE,Bronx,UNION HOUSING PRESERVATION LP.,UNION HOUSING PRESERVATION LP.,0.00%,0,"Elevator Reliability Concerns Persist at 950 Union Avenue, Warranting Proactive Intervention"
2006104,1017 BRYANT AVENUE,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.28%,1,Critical Elevator Reliability Crisis at 1017 Bryant Avenue Requires Immediate and Systemic Intervention
2114124,760 MELROSE AVENUE,Bronx,PALACIO ASSOCIATES LLC,PALACIO ASSOCIATES LLC,0.28%,1,Persistent Elevator Malfunctions at 760 Melrose Avenue Demand Immediate Intervention
2023432,1071 ELDER AVENUE,Bronx,71 ELD REALTY CORP,71 ELD REALTY CORP,0.00%,0,Elevator Service Review and Monitoring Plan for 1071 Elder Avenue
2093924,320 EAST  156 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevated Tenant Frustration and High Risk of Service Disruption at 320 EAST 156 STREET Due to Chronic Elevator Malfunctions
2129325,407 EAST 160 STREET,Bronx,407 E. 160 DEVELOPMENT LLC,407 E. 160 DEVELOPMENT LLC,0.00%,0,Executive Summary: Elevator Status and Advocacy for 407 EAST 160 STREET
2006337,1215 SENECA AVENUE,Bronx,NYC DEPARTMENT OF HOMELESS SERVICES,NYC DEPARTMENT OF HOMELESS SERVICES,0.00%,0,Elevator Reliability Concerns at 1215 Seneca Avenue Require Immediate Proactive Intervention
2128953,1526 BOONE AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.28%,1,Urgent Action Required: Critical Elevator Safety Concerns at 1526 Boone Avenue Amidst Persistent Failures
2116966,775 EAGLE AVENUE,Bronx,PARTNERSHIP ST. ANN'S AFFORDABLE HOUSING  DEV. FUND,PARTNERSHIP ST. ANN'S AFFORDABLE HOUSING  DEV. FUND,0.00%,0,Critical Elevator Reliability Issues at 775 Eagle Avenue Demand Immediate Intervention
2006385,890 BRYANT AVENUE,Bronx,HUNTS POINT RESIDENCES HOUSING DEVELOPME NT,HUNTS POINT RESIDENCES HOUSING DEVELOPME NT,0.00%,0,"Elevator System at 890 BRYANT AVENUE Plagued by Chronic Outages Despite Minimal Official Complaints, Requiring Urgent Proactive Intervention."
2000884,528 MORRIS AVENUE,Bronx,E&N REFRIGERATION CORP.,E&N REFRIGERATION CORP.,0.00%,0,Proactive Monitoring Recommended for 528 Morris Avenue Following Minor Elevator Incidents
2010805,1665 BRYANT AVENUE,Bronx,MBD SILVA TAYLOR HOUSING DEVELOPMENT FUN D COMPANY,MBD SILVA TAYLOR HOUSING DEVELOPMENT FUN D COMPANY,0.00%,0,Critical Elevator Issues at 1665 Bryant Avenue Point to Decades of Neglect
2093925,700 MORRIS AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator System at 700 Morris Avenue: Persistent Dysfunction and Elevated Risk Requiring Proactive Intervention
2120158,1510 SOUTHERN BOULEVARD,Bronx,ICL SOUTHERN BOULEVARD HDFC,ICL SOUTHERN BOULEVARD HDFC,0.00%,0,Elevator System at 1510 SOUTHERN BLVD Plagued by Chronic Malfunctions and High Tenant Frustration
2005103,647 FOX STREET,Bronx,SOUTHERN BLVD IV ASSOCS,SOUTHERN BLVD IV ASSOCS,0.00%,0,Elevator Service Review: 647 Fox Street Requires Urgent Attention and Proactive Measures
2005626,950 EAST 163 STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,Executive Summary: Proactive Elevator Monitoring for 950 EAST 163 STREET
2005519,725 FOX STREET,Bronx,"FOX STREET RESIDENCES, LLC","FOX STREET RESIDENCES, LLC",0.00%,0,Elevator Reliability Concerns Persist at 725 FOX STREET with High Resident Frustration
2010911,1321 WEST FARMS ROAD,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Issues at 1321 WEST FARMS ROAD Demand Proactive Intervention Amidst Decades-Long Tenant Frustration
2099788,941 SIMPSON STREET,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Executive Summary: Critical Elevator Failures at 941 SIMPSON STREET Demand Immediate Intervention
2010670,1662 HOE AVENUE,Bronx,CROTONA VII REDEVELOPMENT CO,CROTONA VII REDEVELOPMENT CO,0.00%,0,"Elevator Service at 1662 Hoe Avenue Plagued by Recurring Failures and Tenant Frustration, Requires Proactive Intervention."
2118990,864 HEWITT PLACE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator System at 864 Hewitt Place: Persistent Failures and Tenant Frustration Mandate Proactive Intervention
2010746,1415 BRYANT AVENUE,Bronx,MBD SILVA TAYLOR HOUSING DEVELOPMENT FUN D COMPANY,MBD SILVA TAYLOR HOUSING DEVELOPMENT FUN D COMPANY,0.00%,0,1415 BRYANT AVENUE Elevator System: High Risk Due to Chronic Malfunctions and Recurring Failures
2005225,961 REV JAMES A POLITE AVENUE,Bronx,THESSALONIA BAPTIST C,THESSALONIA BAPTIST C,0.00%,0,Critical Elevator Outage at 961 REV JAMES A POLITE AVENUE Demands Urgent Resolution
2114677,675 MORRIS AVENUE,Bronx,"MORRIS AVENUE CORNERSTONE ASSOCIATES, L. P.","MORRIS AVENUE CORNERSTONE ASSOCIATES, L. P.",0.00%,0,Elevator Malfunctions at 675 Morris Avenue: High Risk Due to Chronic Issues and Escalating Tenant Frustration
2127501,880 TINTON AVENUE,Bronx,OH 161ST STREET HOUSING DEVELOPMENT FUND  CORP.,OH 161ST STREET HOUSING DEVELOPMENT FUND  CORP.,0.00%,0,Elevator System at 880 Tinton Avenue Requires Immediate and Comprehensive Intervention Amid Escalating Failures and Tenant Frustration
2091958,751 EAST  161 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator System at 751 EAST 161 STREET: Chronic Failures Warrant Immediate Intervention
2005664,1012 KELLY STREET,Bronx,FOXHURST GROUP LLC,FOXHURST GROUP LLC,0.00%,0,Elevator Service Concerns at 1012 Kelly Street: Persistent Failures and Deepening Tenant Frustration
2092008,970 KELLY STREET,Bronx,ANDREWS/KELLY HOUSING DEV. FUND CORPORAT ION,ANDREWS/KELLY HOUSING DEV. FUND CORPORAT ION,0.00%,0,Executive Summary: Proactive Monitoring Recommended for 970 Kelly Street Elevator Service Amidst Current Urgent Reports
2115864,920 PROSPECT AVENUE,Bronx,920 PROSPECT GARDENS HOUSING DEVELOPMENT  FUND CORP,920 PROSPECT GARDENS HOUSING DEVELOPMENT  FUND CORP,0.00%,0,Executive Summary: Proactive Elevator Service Monitoring Strategy for 920 Prospect Avenue
2005628,891 FOX STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,"Elevator Outage at 891 FOX STREET: High Risk Detected, Proactive Monitoring and Resident Communication Recommended"
2028701,1567 TAYLOR AVENUE,Bronx,DAVID T. DIAMOND,DAVID T. DIAMOND,0.00%,0,Executive Summary: Proactive Monitoring for Elevator Service at 1567 TAYLOR AVENUE
2010802,1696 VYSE AVENUE,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.","LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0.00%,0,Executive Summary: Persistent Elevator Unreliability at 1696 Vyse Avenue Demands Proactive Intervention
2005758,930 FOX STREET,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Executive Summary: Persistent Elevator Malfunctions and Tenant Frustration at 930 FOX STREET
2113742,406 EAST 161 STREET,Bronx,ELTON PARKVIEW II ASSOCS LLC,ELTON PARKVIEW II ASSOCS LLC,0.00%,0,Executive Summary: Persistent Elevator Unreliability at 406 EAST 161 STREET Requires Urgent Proactive Strategy
2124693,950 EAST 176 STREET,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator Malfunction Concerns Persist at 950 EAST 176 STREET Amidst Unorganized Community Frustration
2004708,765 EAST 166 STREET,Bronx,NEW YORK EQUITY FUND 2004 LLC,NEW YORK EQUITY FUND 2004 LLC,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 765 EAST 166 STREET Warrant Immediate Attention
2091965,965 TINTON AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Vigilance Recommended for 965 Tinton Avenue Amidst Current Urgent Reports and Dormant Tenant Sentiment
2103548,1238 SIMPSON STREET,Bronx,FREEMAN SIMPSON HOUSING DVLPMNT FUND COR P.,FREEMAN SIMPSON HOUSING DVLPMNT FUND COR P.,0.00%,0,Persistent Elevator Malfunctions at 1238 SIMPSON STREET Require Immediate Proactive Intervention
2005662,985 EAST 163 STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,Elevator Reliability Crisis at 985 EAST 163 STREET Requires Urgent Intervention
2001665,398 EAST  152 STREET,Bronx,152 MELROSE ASSOCIATES,152 MELROSE ASSOCIATES,0.00%,0,Executive Summary: Persistent Elevator Malfunctions and High Risk at 398 EAST 152 STREET
2005847,864 SOUTHERN BOULEVARD,Bronx,SEBCO IV ASSOC,SEBCO IV ASSOC,0.00%,0,Urgent Intervention Required: Chronic Elevator Safety Failures and Deep Tenant Frustration at 864 SOUTHERN BOULEVARD
2006149,1101 WESTCHESTER AVENUE,Bronx,WESTCHESTER RESIDENCE LLC,WESTCHESTER RESIDENCE LLC,0.00%,0,Elevator System at 1101 Westchester Avenue Requires Immediate Intervention Amid Recurring Failures and Tenant Frustration
2093937,995 SIMPSON STREET,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Elevator Reliability Concerns at 995 Simpson Street: Persistent Breakdowns and Urgent Tenant Reports Demand Immediate Action
2006555,750 FAILE STREET,Bronx,CARNES MCKINNEY APARTMENTS INC,CARNES MCKINNEY APARTMENTS INC,0.00%,0,Elevator System at 750 FAILE STREET Poses High Risk Due to Chronic Failures and Tenant Frustration
2128556,1524 BOONE AVENUE,Bronx,SEDGWICK MATERIALS INC.,SEDGWICK MATERIALS INC.,0.00%,0,Recurring Elevator Issues and High Tenant Frustration at 1524 BOONE AVENUE
2005292,855 EAST 167 STREET,Bronx,MK 167 LLC,MK 167 LLC,0.00%,0,Executive Summary: Elevator Status and Advocacy for 855 EAST 167 STREET
2005883,922 SOUTHERN BOULEVARD,Bronx,926 SOUTHERN BLVD LLC,926 SOUTHERN BLVD LLC,0.00%,0,Urgent Intervention Required for Persistent Elevator Issues at 922 SOUTHERN BOULEVARD
2005734,783 SOUTHERN BOULEVARD,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Executive Summary: Proactive Elevator Maintenance Advocacy for 783 Southern Boulevard
2091960,730 EAST  163 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,"Chronic Elevator Malfunctions Plague 730 EAST 163 STREET, Causing High Tenant Frustration and Persistent Service Disruptions"
2091225,301 EAST  156 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Reliability Concerns and Unaddressed Tenant Frustration at 301 EAST 156 STREET
2113511,1515 SOUTHERN BOULEVARD,Bronx,CASTILLO EAST LLC,CASTILLO EAST LLC,0.00%,0,Elevator Service Review and Immediate Action Plan for 1515 Southern Boulevard
2118202,3055 THIRD AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Executive Summary: Elevator Status and Recommendations for 3055 THIRD AVENUE
2090433,1073 HALL PLACE,Bronx,1075 HALL PLACE LLC,1075 HALL PLACE LLC,0.00%,0,Elevator Service at 1073 HALL PLACE Requires Urgent Intervention and Proactive Monitoring
2004594,820 JACKSON AVENUE,Bronx,BRONX BOOKLYN HOUSING DEVELOPMENT FUND C ORPORATION,BRONX BOOKLYN HOUSING DEVELOPMENT FUND C ORPORATION,0.00%,0,Critical Elevator System Failure at 820 Jackson Avenue Demands Immediate Action
2004191,1051 BOSTON ROAD,Bronx,BR AFFORDABLE HOUSING DEVELOPMENT FUND C ORPORATION,BR AFFORDABLE HOUSING DEVELOPMENT FUND C ORPORATION,0.00%,0,Elevator Service at 1051 BOSTON ROAD Poses High Risk Amidst Recent Outages and Tenant Frustration
2006472,860 BRYANT AVENUE,Bronx,HUNTS POINT RESIDENCES HOUSING DEVELOPME NT,HUNTS POINT RESIDENCES HOUSING DEVELOPME NT,0.00%,0,Elevator Service Review: Proactive Monitoring Recommended for 860 Bryant Avenue Amidst Sporadic Issues
2001876,629 COURTLANDT AVENUE,Bronx,"LANCOURT ASSOCIATES, LLC","LANCOURT ASSOCIATES, LLC",0.00%,0,Executive Summary: Recurring Elevator Unreliability at 629 Courtlandt Avenue
2010651,1488 HOE AVENUE,Bronx,UNION GROVE BAPTIST,UNION GROVE BAPTIST,0.00%,0,Executive Summary: Elevator Status and Action Plan for 1488 HOE AVENUE
2117646,1140 TIFFANY STREET,Bronx,TIFFANY STREET ASSOCIATES LP,TIFFANY STREET ASSOCIATES LP,0.00%,0,Elevator Concerns at 1140 Tiffany Street: Moderate Risk Amidst Tenant Frustration and Recurring Issues
2005257,1070 JAMES A POLITE AVENUE,Bronx,TIMPSON HOUSING DEVELOPMENT FUND CORP.,TIMPSON HOUSING DEVELOPMENT FUND CORP.,0.00%,0,Executive Summary: Elevator Status and Advocacy for 1070 JAMES A POLITE AVENUE
2092911,1435 HARROD AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Escalating Elevator Service Concerns at 1435 Harrod Avenue
2004133,576 TIMPSON PLACE,Bronx,TIMPSON PLACE ASSOCIATES LLC,TIMPSON PLACE ASSOCIATES LLC,0.00%,0,Elevator Reliability Concerns at 576 TIMPSON PLACE Warrant Proactive Intervention
2113089,320 EAST 159 STREET,Bronx,SENIOR LIVING OPTIONS INC,SENIOR LIVING OPTIONS INC,0.00%,0,Critical Elevator Malfunctions at 320 East 159 Street Demand Immediate Comprehensive Intervention
2091975,1020 TRINITY AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Proactive Steps for Assured Elevator Service at 1020 TRINITY AVENUE
2010804,1671 BRYANT AVENUE,Bronx,MBD SILVA TAYLOR HOUSING DEVELOPMENT FUN D COMPANY,MBD SILVA TAYLOR HOUSING DEVELOPMENT FUN D COMPANY,0.00%,0,Executive Summary: Persistent Elevator Operational Concerns at 1671 BRYANT AVENUE
2006421,1291 LAFAYETTE AVENUE,Bronx,PIO/VIP HOUSNG DEVELOPMENT FUND CORPORAT ION,PIO/VIP HOUSNG DEVELOPMENT FUND CORPORAT ION,0.00%,0,Elevator Outage at 1291 Lafayette Avenue Requires Immediate Proactive Intervention
2010801,1690 VYSE AVENUE,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.","LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0.00%,0,Elevator System at 1690 VYSE AVENUE Requires Urgent Intervention Due to Chronic Breakdowns and High Tenant Frustration
2092192,1705 BRYANT AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Reliability Concerns Escalate at 1705 Bryant Avenue: Urgent Intervention Recommended
2000907,315 EAST 148 STREET,Bronx,H.I.R.E. HOUSING DEVELOPMENT FUND CORPOR ATION,H.I.R.E. HOUSING DEVELOPMENT FUND CORPOR ATION,0.00%,0,Elevator System at 315 EAST 148 STREET Requires Immediate Proactive Intervention Due to Recurring Failures and High Tenant Dissatisfaction
2010494,1325 SOUTHERN BOULEVARD,Bronx,HP SOUTHERN BOULEVARD HOUSING DEVELOPMEN T FUND,HP SOUTHERN BOULEVARD HOUSING DEVELOPMEN T FUND,0.00%,0,Elevator Service at 1325 Southern Boulevard Requires Proactive Monitoring Amidst Critical Ongoing Issues
2006108,995 ALDUS STREET,Bronx,ALDUS GREEN CORP,ALDUS GREEN CORP,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 995 Aldus Street Necessitate Proactive Intervention
2114614,871 ELTON AVENUE,Bronx,PARKVIEW COMMONS CONDO,PARKVIEW COMMONS CONDO,0.00%,0,Urgent Action Required: Chronic Unsafe Elevator Conditions and Compliance Failures at 871 ELTON AVENUE Demand Immediate Intervention
2113129,890 PROSPECT AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Chronic Elevator Unreliability Plagues 890 Prospect Avenue: Urgent Intervention Required
2129172,1117 HOE AVENUE,Bronx,SKMF HOE MANAGEMENT LLC,SKMF HOE MANAGEMENT LLC,0.00%,0,Chronic Elevator Maintenance Failures at 1117 HOE AVENUE Require Urgent Intervention
2129168,980 WESTCHESTER AVENUE,Bronx,"980 WESTCHESTER HOUSING DEVELOPMENT FUND  CORPORATION,","980 WESTCHESTER HOUSING DEVELOPMENT FUND  CORPORATION,",0.00%,0,Persistent Elevator Failures at 980 WESTCHESTER AVENUE Demand Immediate Intervention Amid Ongoing Tenant Frustration
2114450,1061 HALL PLACE,Bronx,TAFSC HOUSING DEVELOPMENT FUND CORPORATI ON,TAFSC HOUSING DEVELOPMENT FUND CORPORATI ON,0.00%,0,Elevator Reliability Concerns Intensify at 1061 Hall Place Amid Chronic Outages and Persistent Issues
2120984,1092 CLOSE AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator Operational Concerns at 1092 Close Avenue: Recurring Malfunctions and Tenant Frustration
2006136,973 ALDUS STREET,Bronx,973 ALDUS LLC,973 ALDUS LLC,0.00%,0,Elevator Reliability Concerns Identified at 973 ALDUS STREET Requiring Proactive Monitoring
2023748,1473 WATSON AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Proactive Elevator Monitoring Strategy for 1473 Watson Avenue
2092902,1635 EAST 174 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Elevator Service Reliability at 1635 EAST 174 STREET
2116983,715 FOX STREET,Bronx,715 FOX STREET OWNERS CORPORATION,715 FOX STREET OWNERS CORPORATION,0.00%,0,Elevator Reliability Concerns at 715 FOX STREET: Recurring Incidents and Resident Frustration
2006154,998 EAST 167 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,"Elevator service at 998 EAST 167 STREET faces HIGH risk due to persistent historical failures and significant community frustration, necessitating proactive intervention."
2004285,1191 BOSTON ROAD,Bronx,BOSTON ROAD II HOUSING DEVELOPMENT FUND  CORPORATIO,BOSTON ROAD II HOUSING DEVELOPMENT FUND  CORPORATIO,0.00%,0,Elevator Performance and Tenant Frustration at 1191 BOSTON ROAD: Recurring Issues Warrant Proactive Monitoring
2127465,495 EAST 158 STREET,Bronx,CS MELROSE SITE B LLC,CS MELROSE SITE B LLC,0.28%,1,Chronic Elevator Malfunctions at 495 EAST 158 STREET Demand Immediate Action Amidst Rising Tenant Dissatisfaction
2004246,1265 FRANKLIN AVENUE,Bronx,BRONX-LEBANON HOSPITAL CENTER,BRONX-LEBANON HOSPITAL CENTER,0.00%,0,Urgent Elevator Service Outage at 1265 Franklin Avenue Requires Immediate Intervention
2127429,432 EAST 162 STREET,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Executive Summary: Persistent Elevator Malfunctions at 432 EAST 162 STREET Demand Urgent Attention
2002441,635 MORRIS AVENUE,Bronx,"MARIA LOPEZ HOUSING DEVELOPMENT FUND COM PANY, INC.","MARIA LOPEZ HOUSING DEVELOPMENT FUND COM PANY, INC.",0.00%,0,Critical Elevator Service Deterioration at 635 MORRIS AVENUE Requires Immediate Intervention
2005735,775 SOUTHERN BOULEVARD,Bronx,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,LONGWOOD RESIDENCES HOUSING DEVELOPMENT  FUND,0.00%,0,Executive Summary: Escalating Elevator Concerns and Proactive Monitoring Strategy for 775 Southern Boulevard
2001759,374 EAST 159 STREET,Bronx,"MELROSE CLUSTER, L.P.","MELROSE CLUSTER, L.P.",0.00%,0,Executive Summary: Elevator Status and Advocacy for 374 EAST 159 STREET
2010681,1665 VYSE AVENUE,Bronx,MONTEREY HOUSING DEVELOPMENT FUND CORPOR ATION,MONTEREY HOUSING DEVELOPMENT FUND CORPOR ATION,0.00%,0,CRITICAL: Persistent Elevator Malfunctions at 1665 Vyse Avenue Demand Immediate Action
2130565,1169 HOE AVENUE,Bronx,1169 HOE LLC,1169 HOE LLC,0.00%,0,Critical Elevator Service Disruption at 1169 HOE AVENUE Demands Urgent Intervention and Proactive Advocacy
2006076,980 ALDUS STREET,Bronx,SEBCO HOUSING DEV FND,SEBCO HOUSING DEV FND,0.00%,0,Executive Summary: Proactive Elevator Maintenance Inquiry for 980 Aldus Street - Ensuring Safety and Compliance
2129167,975 TIFFANY STREET,Bronx,ANDREWS/KELLY HOUSING DEV. FUND CORPORAT ION,ANDREWS/KELLY HOUSING DEV. FUND CORPORAT ION,0.00%,0,Executive Summary: Urgent Elevator Reliability Concerns at 975 Tiffany Street
2088309,902 JENNINGS STREET,Bronx,902 JENNINGS STREET HOUSING DEVELOPMENT  FUND CORP.,902 JENNINGS STREET HOUSING DEVELOPMENT  FUND CORP.,0.00%,0,Elevator System at 902 JENNINGS STREET Exhibits Moderate Risk with Limited Historical Issues and Low Community Advocacy
2010905,1316 WEST FARMS ROAD,Bronx,WEST FARMS ESTATES HOUSING DEVELOPMENT F UND CORPOR,WEST FARMS ESTATES HOUSING DEVELOPMENT F UND CORPOR,0.00%,0,Elevator Service Reliability Concerns Persist at 1316 WEST FARMS ROAD Amidst Chronic Issues
2129271,944 ROGERS PLACE,Bronx,"TLK MANOR HOUSING DEVELOPMENT FUND COMPA NY, INC.","TLK MANOR HOUSING DEVELOPMENT FUND COMPA NY, INC.",0.00%,0,Elevator Service Degradation and High Tenant Frustration at 944 Rogers Place
2010904,1011 FREEMAN STREET,Bronx,WEST FARMS ESTATES HOUSING DEVELOPMENT F UND CORPOR,WEST FARMS ESTATES HOUSING DEVELOPMENT F UND CORPOR,0.00%,0,Escalating Elevator Crisis at 1011 Freeman Street Demands Urgent Intervention
2130390,720 TIFFANY STREET,Bronx,NYC ADMINISTRATION FOR CHILDRENS SERVICES,NYC ADMINISTRATION FOR CHILDRENS SERVICES,0.00%,0,Executive Summary: Elevator Status and Advocacy Plan for 720 TIFFANY STREET
2001881, COURTLANDT SCHOOL,Bronx,NYC DEPARTMENT OF EDUCATION,NYC DEPARTMENT OF EDUCATION,0.00%,0,Proactive Elevator Monitoring Recommended for Courtlandt School Amidst Emerging Concerns
2005539,777 FOX STREET,Bronx,SOUTHERN BLVD ASSOC,SOUTHERN BLVD ASSOC,0.00%,0,Elevator System at 777 FOX STREET Requires Immediate Intervention Due to Chronic Failures
2005169,850 LONGWOOD AVENUE,Bronx,HOUSING DEV. FUND CORP,HOUSING DEV. FUND CORP,0.00%,0,Persistent Elevator Safety Failures and Chronic Breakdowns Plague 850 Longwood Avenue
2006078,941 FAILE STREET,Bronx,FAILE STREET ASSOCIATES,FAILE STREET ASSOCIATES,0.00%,0,Elevator Crisis at 941 FAILE STREET: Chronic Failures and Deep Tenant Distress Demand Urgent Intervention
2002459,560 GRAND CONCOURSE,Bronx,BPO OWNER LLC,BPO OWNER LLC,0.00%,0,"Elevator Service Assessment: 560 GRAND CONCOURSE - Low Current Risk, Proactive Monitoring Advised"
2001451,3097 3 AVENUE,Bronx,LA CASA DE FELICIDAD H.D.F.C.,LA CASA DE FELICIDAD H.D.F.C.,0.00%,0,Elevator System at 3097 3 Avenue Requires Immediate Intervention Due to Chronic Failures and High Tenant Frustration
2120261,780 PROSPECT AVENUE,Bronx,COMMUNILIFE PROSPECT HOUSING DEVELOPMENT FUND CORPORATION,COMMUNILIFE PROSPECT HOUSING DEVELOPMENT FUND CORPORATION,0.00%,0,Executive Summary: Persistent Elevator Service Concerns at 780 Prospect Avenue
2005660,980 TIFFANY STREET,Bronx,NYC DEPARTMENT OF EDUCATION,NYC DEPARTMENT OF EDUCATION,0.00%,0,Elevator Safety Concerns Persist at 980 Tiffany Street: Moderate Risk Identified Amidst Growing Tenant Frustration
2001674,390 EAST 153 STREET,Bronx,"390 EASTCO ,","390 EASTCO ,",0.00%,0,Elevator System Reliability and Tenant Frustration at 390 East 153 Street: Urgent Intervention Required
2001164,2914 3 AVENUE,Bronx,ACADIA 2914 THIRD AVENUE LLC,ACADIA 2914 THIRD AVENUE LLC,0.00%,0,Executive Summary: Elevator Status and Action Plan for Building 2914 3 AVENUE
2010314,810 FREEMAN STREET,Bronx,"810 FREEMAN STREET, LLC","810 FREEMAN STREET, LLC",0.00%,0,Urgent Elevator System Failure at 810 FREEMAN STREET Requires Immediate Attention
2007018,1340 VIELE AVENUE,Bronx,GP REAL ESTATE LLC,GP REAL ESTATE LLC,0.00%,0,Elevator Status Update: Critical Outage Identified at 1340 VIELE AVENUE with Limited Historical Precedent
